Year,Barrierefreie und inklusive Mobilitätsangebot,Value
2019,gesamt barrierefreie Parkplätze,99
2019,Ampeln mit Sensoren,66
2019,Ampeln teilausgestattet mit Sensoren,6
2019,Bushaltestellen DFI inkl. akustische Ansagen,69
2022,Blindenleitsysteme,670
2022,Bushaltestellen DFI inkl. akustische Ansagen,117
2023,städtische barrierefreie Parkplätze,77
2023,gesamt barrierefreie Parkplätze,118
2023,Eltern-Kind-Parkplätze,3
2023,Ampeln mit Sensoren,89
2023,Ampeln teilausgestattet mit Sensoren,3
2023,Bushaltestellen DFI inkl. akustische Ansagen,140
2024,Bushaltestellen DFI inkl. akustische Ansagen,179
2024,Bushaltestellen taktile Ausstattung,263
